raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida,ranking_de_popularidad
Border Collie,herding,20143,12.52,2,623,324,2,3,medium,20.35,51,Brightest,<5,>95,"eye problems, deafness","Collie eye anomaly, deafness",budget,175,1050,3486,13095,45
Border Terrier,terrier,22638,14,0,833,324,2,1,small,6,48,Above average,15-25,>70,none,none,mid-price,250,1200,3898,14643,80
Brittany,sporting,22589,12.92,0,618,466,2,2,medium,16,48,Excellent,5-15,>85,none,none,budget,300,1200,5171,13514,30
Cairn Terrier,terrier,21992,13.84,2,435,324,2,1,small,6,25,Above average,15-25,>70,"lion jaw', heart problems  ","Craniomandibular osteopathy (""lion jaw""), Mitral valve dysplasia",budget,300,600,3854,14476,59
Welsh Springer Spaniel,sporting,20224,12.49,1,750,324,2,1,medium,20.35,46,Above average,15-25,>70,hip problems,hip dysplasia,mid-price,750,750,3478,13064,130
English Cocker Spaniel,sporting,18993,11.66,0,800,324,2,1,medium,14,41,Excellent,5-15,>85,none,none,mid-price,600,1000,3247,12196,63
Cocker Spaniel,sporting,24330,12.5,2,465,674,2,1,small,11,37,Excellent,5-15,>85,"eye, skin problems","Retinal dysplasia, seborrhea",budget,250,800,6149,13074,27
Papillon,toy,21001,13,5,740,324,2,2,small,20.35,24,Brightest,<5,>95,"cataracts, hair loss, heart, eye, blood clotting disorders","Cataracts, Follicular dysplasias, Mitral valve dysplasia, Progressive retinal atrophy, von Willebrand's disease",mid-price,400,1000,3620,13597,38
Australian Cattle Dog,herding,20395,11.67,1,530,466,2,3,medium,20.35,47,Brightest,<5,>95,hip problems,hip dysplasia,budget,250,1000,4671,12206,60
Shetland Sheepdog,herding,21006,12.53,5,465,405,1,1,small,10.15,37,Brightest,<5,>95,"eye problems, deafness, skin + heart problems, blood clotting disorders","Collie eye anomaly (CEA), deafness, Dermatomyositis and ulcerative dermatosis, Patent ductus arteriosus (PDA), von Willebrand's disease",budget,150,1000,3698,13106,20
